params,retorno_porcentual,win_rate
"{'periodo_corto': 4, 'periodo_largo': 94, 'periodo_signal': 3}",1.49,0.4574468085106383
"{'periodo_corto': 4, 'periodo_largo': 102, 'periodo_signal': 4}",1.49,0.4936708860759494
"{'periodo_corto': 5, 'periodo_largo': 15, 'periodo_signal': 4}",1.49,0.4943820224719101
"{'periodo_corto': 19, 'periodo_largo': 17, 'periodo_signal': 6}",1.49,0.6126126126126126
"{'periodo_corto': 2, 'periodo_largo': 14, 'periodo_signal': 7}",1.48,0.44036697247706424
"{'periodo_corto': 2, 'periodo_largo': 16, 'periodo_signal': 6}",1.48,0.43859649122807015
"{'periodo_corto': 2, 'periodo_largo': 85, 'periodo_signal': 6}",1.48,0.42424242424242425
"{'periodo_corto': 2, 'periodo_largo': 109, 'periodo_signal': 6}",1.48,0.44565217391304346
"{'periodo_corto': 2, 'periodo_largo': 168, 'periodo_signal': 6}",1.48,0.4772727272727273
"{'periodo_corto': 2, 'periodo_largo': 196, 'periodo_signal': 6}",1.48,0.5
"{'periodo_corto': 2, 'periodo_largo': 197, 'periodo_signal': 6}",1.48,0.5
"{'periodo_corto': 4, 'periodo_largo': 15, 'periodo_signal': 3}",1.48,0.47368421052631576
"{'periodo_corto': 4, 'periodo_largo': 78, 'periodo_signal': 3}",1.48,0.47474747474747475
"{'periodo_corto': 4, 'periodo_largo': 128, 'periodo_signal': 3}",1.48,0.5
"{'periodo_corto': 5, 'periodo_largo': 11, 'periodo_signal': 4}",1.48,0.5242718446601942
"{'periodo_corto': 5, 'periodo_largo': 12, 'periodo_signal': 4}",1.48,0.5208333333333334
"{'periodo_corto': 5, 'periodo_largo': 13, 'periodo_signal': 6}",1.48,0.5348837209302325
"{'periodo_corto': 5, 'periodo_largo': 92, 'periodo_signal': 3}",1.48,0.44047619047619047
"{'periodo_corto': 14, 'periodo_largo': 12, 'periodo_signal': 14}",1.48,0.6463414634146342
"{'periodo_corto': 16, 'periodo_largo': 13, 'periodo_signal': 9}",1.48,0.6049382716049383
"{'periodo_corto': 18, 'periodo_largo': 17, 'periodo_signal': 11}",1.48,0.638095238095238
"{'periodo_corto': 19, 'periodo_largo': 18, 'periodo_signal': 5}",1.48,0.5855263157894737
"{'periodo_corto': 2, 'periodo_largo': 10, 'periodo_signal': 11}",1.47,0.46534653465346537
"{'periodo_corto': 2, 'periodo_largo': 82, 'periodo_signal': 6}",1.47,0.42424242424242425
"{'periodo_corto': 2, 'periodo_largo': 83, 'periodo_signal': 7}",1.47,0.45454545454545453
"{'periodo_corto': 2, 'periodo_largo': 84, 'periodo_signal': 8}",1.47,0.47368421052631576
"{'periodo_corto': 2, 'periodo_largo': 194, 'periodo_signal': 6}",1.47,0.4880952380952381
"{'periodo_corto': 2, 'periodo_largo': 198, 'periodo_signal': 6}",1.47,0.5061728395061729
"{'periodo_corto': 4, 'periodo_largo': 12, 'periodo_signal': 7}",1.47,0.5
"{'periodo_corto': 4, 'periodo_largo': 13, 'periodo_signal': 5}",1.47,0.5
"{'periodo_corto': 4, 'periodo_largo': 13, 'periodo_signal': 6}",1.47,0.4666666666666667
"{'periodo_corto': 4, 'periodo_largo': 93, 'periodo_signal': 3}",1.47,0.46808510638297873
"{'periodo_corto': 4, 'periodo_largo': 95, 'periodo_signal': 4}",1.47,0.4444444444444444
"{'periodo_corto': 4, 'periodo_largo': 96, 'periodo_signal': 4}",1.47,0.4444444444444444
"{'periodo_corto': 4, 'periodo_largo': 100, 'periodo_signal': 4}",1.47,0.5
"{'periodo_corto': 12, 'periodo_largo': 10, 'periodo_signal': 4}",1.47,0.5734265734265734
"{'periodo_corto': 18, 'periodo_largo': 12, 'periodo_signal': 6}",1.47,0.5833333333333334
"{'periodo_corto': 2, 'periodo_largo': 10, 'periodo_signal': 7}",1.46,0.5363636363636364
"{'periodo_corto': 2, 'periodo_largo': 91, 'periodo_signal': 6}",1.46,0.43434343434343436
"{'periodo_corto': 2, 'periodo_largo': 102, 'periodo_signal': 6}",1.46,0.44329896907216493
"{'periodo_corto': 2, 'periodo_largo': 103, 'periodo_signal': 6}",1.46,0.44329896907216493
"{'periodo_corto': 2, 'periodo_largo': 107, 'periodo_signal': 6}",1.46,0.44086021505376344
"{'periodo_corto': 2, 'periodo_largo': 167, 'periodo_signal': 6}",1.46,0.47126436781609193
"{'periodo_corto': 2, 'periodo_largo': 178, 'periodo_signal': 6}",1.46,0.4659090909090909
"{'periodo_corto': 2, 'periodo_largo': 182, 'periodo_signal': 6}",1.46,0.4827586206896552
"{'periodo_corto': 4, 'periodo_largo': 18, 'periodo_signal': 3}",1.46,0.5175438596491229
"{'periodo_corto': 4, 'periodo_largo': 81, 'periodo_signal': 3}",1.46,0.46875
"{'periodo_corto': 4, 'periodo_largo': 101, 'periodo_signal': 5}",1.46,0.4864864864864865
"{'periodo_corto': 5, 'periodo_largo': 12, 'periodo_signal': 3}",1.46,0.5471698113207547
"{'periodo_corto': 5, 'periodo_largo': 13, 'periodo_signal': 4}",1.46,0.5052631578947369
"{'periodo_corto': 5, 'periodo_largo': 18, 'periodo_signal': 4}",1.46,0.4588235294117647
"{'periodo_corto': 17, 'periodo_largo': 11, 'periodo_signal': 11}",1.46,0.5833333333333334
"{'periodo_corto': 2, 'periodo_largo': 90, 'periodo_signal': 6}",1.45,0.43434343434343436
"{'periodo_corto': 2, 'periodo_largo': 138, 'periodo_signal': 6}",1.45,0.45555555555555555
"{'periodo_corto': 2, 'periodo_largo': 143, 'periodo_signal': 6}",1.45,0.4444444444444444
"{'periodo_corto': 2, 'periodo_largo': 145, 'periodo_signal': 6}",1.45,0.45054945054945056
"{'periodo_corto': 4, 'periodo_largo': 10, 'periodo_signal': 8}",1.45,0.4942528735632184
"{'periodo_corto': 4, 'periodo_largo': 11, 'periodo_signal': 9}",1.45,0.5487804878048781
"{'periodo_corto': 4, 'periodo_largo': 94, 'periodo_signal': 4}",1.45,0.4444444444444444
"{'periodo_corto': 4, 'periodo_largo': 104, 'periodo_signal': 4}",1.45,0.5
"{'periodo_corto': 4, 'periodo_largo': 148, 'periodo_signal': 3}",1.45,0.5119047619047619
"{'periodo_corto': 4, 'periodo_largo': 149, 'periodo_signal': 3}",1.45,0.5119047619047619
"{'periodo_corto': 5, 'periodo_largo': 93, 'periodo_signal': 3}",1.45,0.43023255813953487
"{'periodo_corto': 15, 'periodo_largo': 17, 'periodo_signal': 5}",1.45,0.6229508196721312
"{'periodo_corto': 19, 'periodo_largo': 17, 'periodo_signal': 4}",1.45,0.6296296296296297
"{'periodo_corto': 2, 'periodo_largo': 10, 'periodo_signal': 10}",1.44,0.49
"{'periodo_corto': 2, 'periodo_largo': 11, 'periodo_signal': 9}",1.44,0.4752475247524752
"{'periodo_corto': 2, 'periodo_largo': 133, 'periodo_signal': 6}",1.44,0.45054945054945056
"{'periodo_corto': 2, 'periodo_largo': 146, 'periodo_signal': 6}",1.44,0.45054945054945056
"{'periodo_corto': 3, 'periodo_largo': 90, 'periodo_signal': 5}",1.44,0.4943820224719101
"{'periodo_corto': 3, 'periodo_largo': 97, 'periodo_signal': 5}",1.44,0.4943820224719101
"{'periodo_corto': 4, 'periodo_largo': 14, 'periodo_signal': 5}",1.44,0.5051546391752577
"{'periodo_corto': 4, 'periodo_largo': 87, 'periodo_signal': 4}",1.44,0.48717948717948717
"{'periodo_corto': 4, 'periodo_largo': 99, 'periodo_signal': 4}",1.44,0.4810126582278481
"{'periodo_corto': 4, 'periodo_largo': 100, 'periodo_signal': 5}",1.44,0.47368421052631576
"{'periodo_corto': 4, 'periodo_largo': 126, 'periodo_signal': 3}",1.44,0.4827586206896552
"{'periodo_corto': 4, 'periodo_largo': 130, 'periodo_signal': 3}",1.44,0.47619047619047616
